,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2017-10-19,,NYK,W,105,84,106.2,85.0,98.9,.244,.422,.527,50.0,66.7,14.2,12.7,,.494,15.3,30.2,.178,,.449,22.2,71.8,.165
2,2,2017-10-21,@,UTA,L,87,96,93.6,103.3,93.0,.244,.423,.504,48.1,46.9,15.1,8.3,,.481,16.4,19.0,.154,,.552,17.8,81.1,.143
3,3,2017-10-22,,MIN,L,113,115,111.8,113.7,101.1,.167,.323,.548,44.4,56.5,8.9,9.8,,.536,9.6,20.5,.104,,.558,15.0,73.0,.221
4,4,2017-10-25,,IND,W,114,96,114.3,96.2,99.8,.292,.303,.568,54.4,60.5,8.0,14.8,,.539,16.6,37.2,.202,,.398,16.2,70.2,.361
5,5,2017-10-27,@,MIN,L,116,119,120.7,123.9,96.1,.291,.326,.598,44.3,44.2,8.3,14.1,,.547,12.6,28.9,.256,,.535,12.9,58.5,.314
6,6,2017-10-28,@,CHI,W,101,69,110.1,75.2,91.7,.159,.386,.536,52.5,71.8,17.4,19.5,,.517,10.5,23.9,.114,,.346,18.0,77.4,.192
7,7,2017-10-31,@,MIL,W,110,91,116.7,96.5,94.3,.259,.346,.609,59.7,60.0,6.4,6.5,,.568,14.3,25.0,.222,,.474,13.9,90.2,.234
8,8,2017-11-03,,BOS,L,94,101,102.2,109.8,92.0,.161,.402,.505,49.5,57.1,4.3,12.5,,.477,11.4,22.4,.126,,.506,9.6,77.1,.190
9,9,2017-11-05,@,POR,L,99,103,100.8,104.8,98.2,.169,.371,.518,42.1,42.5,11.2,3.7,,.511,10.3,14.0,.090,,.547,19.6,78.8,.297
10,10,2017-11-07,@,SAC,L,86,94,86.2,94.2,99.8,.267,.430,.447,48.4,51.7,16.0,3.6,,.395,12.7,17.6,.209,,.525,21.4,87.5,.139
11,11,2017-11-09,@,DEN,L,94,102,102.5,111.2,91.7,.156,.333,.489,49.4,42.1,16.4,12.7,,.483,14.3,36.7,.078,,.518,16.4,65.0,.207
12,12,2017-11-10,,LAC,W,120,111,125.7,116.2,95.5,.513,.333,.628,46.5,57.5,8.4,13.0,,.583,10.3,26.8,.372,,.536,15.6,64.4,.250
13,13,2017-11-12,,DAL,W,110,99,111.9,100.7,98.3,.417,.444,.646,47.4,58.3,10.2,8.0,,.604,15.0,9.1,.319,,.489,17.4,75.6,.161
14,14,2017-11-15,,CHI,W,92,79,104.6,89.8,87.9,.514,.417,.521,55.8,57.7,8.0,4.3,,.417,12.8,25.6,.444,,.420,13.4,86.0,.213
15,15,2017-11-17,@,SAS,L,101,104,113.9,117.3,88.7,.236,.258,.514,48.2,61.5,7.9,7.1,,.489,7.5,28.9,.157,,.532,12.7,70.0,.286
16,16,2017-11-20,@,NOP,L,107,114,102.9,109.7,103.9,.292,.393,.533,44.9,57.9,13.5,3.6,,.489,12.2,17.6,.225,,.556,16.8,81.6,.313
17,17,2017-11-22,,GSW,W,108,91,106.7,89.9,101.2,.289,.278,.532,56.2,39.0,14.8,10.2,,.500,13.6,28.9,.200,,.475,20.0,84.1,.188
18,18,2017-11-24,,DET,L,98,99,99.5,100.5,98.5,.082,.327,.483,51.1,52.4,13.2,12.8,,.469,12.1,27.1,.061,,.548,18.5,80.0,.083
19,19,2017-11-25,@,DAL,L,81,97,89.9,107.7,90.1,.163,.438,.472,47.6,82.8,13.3,2.5,,.444,16.5,18.6,.125,,.593,17.6,79.5,.107
20,20,2017-11-29,@,ORL,L,108,121,110.9,124.2,97.4,.313,.333,.495,56.5,44.7,8.2,10.9,,.458,10.6,37.5,.208,,.678,12.9,93.1,.237
21,21,2017-12-01,,MIN,W,111,107,121.0,116.7,91.7,.278,.329,.626,61.8,68.3,7.6,13.5,,.570,16.9,39.4,.266,,.592,15.8,82.9,.224
22,22,2017-12-03,,SAS,W,90,87,94.5,91.3,95.3,.241,.253,.468,54.7,56.8,8.4,4.2,,.460,17.2,32.6,.115,,.461,16.5,80.0,.224
23,23,2017-12-05,,UTA,W,100,94,106.1,99.7,94.3,.321,.222,.541,56.8,46.2,11.7,13.0,,.506,16.3,31.6,.222,,.500,15.3,79.1,.190
24,24,2017-12-07,@,BRK,L,95,100,95.9,101.0,99.0,.235,.245,.439,52.4,47.4,6.1,7.0,,.423,10.0,28.8,.122,,.506,12.2,84.1,.238
25,25,2017-12-09,@,MEM,W,102,101,109.5,108.4,84.4,.337,.370,.483,50.0,50.0,7.5,9.1,,.457,8.6,33.3,.196,,.517,12.0,69.8,.114
26,26,2017-12-11,,CHO,L,103,116,109.6,123.4,94.0,.294,.306,.536,48.8,45.7,4.3,3.6,,.465,12.7,25.6,.282,,.611,11.6,75.7,.210
27,27,2017-12-13,@,IND,W,100,95,109.4,104.0,91.4,.273,.330,.507,55.3,72.2,10.9,10.3,,.483,11.7,35.4,.170,,.511,12.4,76.1,.045
28,28,2017-12-15,@,PHI,W,119,117,100.8,99.1,90.0,.168,.310,.490,54.5,59.6,8.5,9.3,,.482,12.9,29.5,.088,,.505,14.9,85.7,.160
29,29,2017-12-16,@,NYK,L,96,111,110.0,127.2,87.3,.235,.318,.512,54.5,50.0,10.3,15.2,,.494,13.0,35.6,.141,,.652,13.9,81.3,.304
30,30,2017-12-18,,DEN,W,95,94,104.1,103.0,91.3,.185,.296,.542,47.1,33.3,9.9,10.2,,.525,10.2,14.0,.123,,.500,10.8,81.0,.093
31,31,2017-12-20,,UTA,W,107,79,119.2,88.0,89.8,.286,.299,.617,51.9,57.5,16.7,11.9,,.571,13.0,22.2,.247,,.404,17.5,75.6,.274
32,32,2017-12-22,,ATL,W,120,117,124.2,121.1,96.6,.378,.305,.627,59.7,54.5,11.4,9.4,,.616,16.6,42.9,.232,,.606,14.0,78.1,.165
33,33,2017-12-23,@,UTA,W,103,89,121.6,105.1,84.7,.182,.330,.542,54.9,46.2,10.6,10.9,,.511,6.9,32.6,.148,,.500,12.9,83.3,.236
34,34,2017-12-25,,HOU,W,112,107,121.1,115.7,92.5,.291,.228,.628,51.3,48.8,9.7,22.7,,.595,13.6,25.7,.228,,.506,12.1,72.1,.309
35,35,2017-12-27,,TOR,W,124,107,127.4,110.0,97.3,.379,.287,.611,60.5,54.3,9.3,14.9,,.580,10.6,35.7,.264,,.488,10.2,84.1,.282
36,36,2017-12-29,,MIL,L,95,97,105.5,107.7,90.1,.253,.301,.515,51.1,42.1,5.6,8.9,,.500,11.5,24.4,.145,,.524,8.9,74.5,.094
37,37,2017-12-31,,DAL,L,113,116,120.1,123.3,94.1,.258,.360,.570,55.6,41.9,4.3,7.3,,.539,10.0,28.2,.191,,.601,6.9,81.0,.101
38,38,2018-01-03,@,LAL,W,133,96,136.1,98.2,97.7,.097,.323,.686,49.4,64.3,12.3,8.5,,.677,8.5,19.4,.075,,.473,14.7,69.8,.098
39,39,2018-01-04,@,LAC,W,127,117,125.4,115.5,101.3,.147,.358,.628,50.5,45.1,4.0,8.6,,.616,11.4,26.8,.105,,.495,8.3,70.0,.180
40,40,2018-01-07,@,PHO,L,100,114,107.6,122.7,92.9,.244,.314,.525,49.4,57.5,7.5,14.3,,.512,10.4,20.5,.140,,.540,6.7,73.9,.216
41,41,2018-01-09,,POR,L,106,117,109.7,121.1,96.6,.310,.369,.555,47.5,54.1,6.2,6.9,,.518,12.8,24.4,.226,,.593,14.0,77.1,.259
42,42,2018-01-10,@,MIN,L,88,104,93.0,109.9,94.6,.300,.313,.486,47.7,40.6,9.5,3.3,,.438,16.6,22.7,.225,,.531,13.2,73.8,.238
43,43,2018-01-13,@,CHO,W,101,91,106.1,95.6,95.2,.206,.268,.477,53.3,43.6,8.4,16.4,,.443,7.8,31.7,.155,,.452,13.1,80.9,.193
44,44,2018-01-15,,SAC,W,95,88,96.8,89.6,98.2,.349,.349,.479,61.5,55.6,10.2,11.1,,.471,15.4,36.7,.163,,.435,12.0,87.2,.179
45,45,2018-01-17,,LAL,W,114,90,124.7,98.4,91.4,.126,.368,.568,64.3,47.8,10.9,10.9,,.547,13.8,46.7,.105,,.531,16.2,84.6,.049
46,46,2018-01-20,@,CLE,W,148,124,135.8,113.8,109.0,.280,.300,.659,65.0,63.8,8.3,3.8,,.650,10.4,39.0,.180,,.573,12.9,92.3,.247
47,47,2018-01-23,,BRK,W,109,108,117.3,116.3,92.9,.340,.266,.504,52.6,30.0,7.5,9.8,,.463,3.6,30.2,.234,,.570,11.8,81.0,.228
48,48,2018-01-25,,WAS,W,121,112,121.7,112.6,99.5,.333,.310,.606,50.6,40.0,16.1,11.8,,.569,12.3,32.5,.253,,.581,19.8,69.2,.140
49,49,2018-01-27,@,DET,W,121,108,126.9,113.3,95.4,.247,.355,.587,50.0,51.1,9.4,3.9,,.559,8.0,30.2,.183,,.536,14.5,69.8,.214
50,50,2018-01-28,,PHI,W,122,112,132.7,121.8,91.9,.326,.359,.580,50.6,46.7,7.6,6.4,,.543,8.7,37.8,.239,,.572,13.5,66.7,.329
51,51,2018-01-30,@,WAS,L,96,102,95.0,101.0,101.0,.425,.400,.505,54.7,63.3,6.9,12.5,,.431,17.4,28.0,.338,,.421,10.5,84.4,.303
52,52,2018-02-01,@,DEN,L,124,127,121.1,124.0,102.4,.173,.286,.588,48.2,66.7,4.9,10.2,,.566,6.2,20.9,.133,,.593,9.5,77.5,.124
53,53,2018-02-02,,NOP,L,100,114,96.3,109.8,103.9,.206,.371,.473,55.9,64.9,5.8,7.6,,.428,13.1,29.4,.175,,.583,14.3,88.1,.100
54,54,2018-02-04,,LAL,L,104,108,102.0,106.0,101.9,.281,.281,.520,53.5,42.5,12.8,10.7,,.489,14.5,28.9,.191,,.564,16.8,80.5,.128
55,55,2018-02-06,@,GSW,W,125,105,119.4,100.3,104.7,.355,.333,.581,46.5,38.6,13.4,8.2,,.538,10.0,22.2,.269,,.532,21.6,73.2,.299
56,56,2018-02-08,@,LAL,L,81,106,87.9,115.0,92.1,.211,.378,.412,49.5,50.0,6.5,6.2,,.400,11.7,30.9,.100,,.490,7.3,71.7,.125
57,57,2018-02-11,,MEM,W,110,92,118.6,99.2,92.8,.519,.481,.581,44.7,61.8,6.5,5.6,,.545,8.7,20.5,.338,,.427,15.5,70.7,.268