G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,Thu Oct 19 2017,,,Box Score,,New York Knicks,W,,105,84,1,0,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
2,Sat Oct 21 2017,,,Box Score,@,Utah Jazz,L,,87,96,1,1,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
3,Sun Oct 22 2017,,,Box Score,,Minnesota Timberwolves,L,,113,115,1,2,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
4,Wed Oct 25 2017,,,Box Score,,Indiana Pacers,W,,114,96,2,2,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
5,Fri Oct 27 2017,,,Box Score,@,Minnesota Timberwolves,L,,116,119,2,3,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
6,Sat Oct 28 2017,,,Box Score,@,Chicago Bulls,W,,101,69,3,3,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
7,Tue Oct 31 2017,,,Box Score,@,Milwaukee Bucks,W,,110,91,4,3,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
8,Fri Nov 3 2017,,,Box Score,,Boston Celtics,L,,94,101,4,4,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
9,Sun Nov 5 2017,,,Box Score,@,Portland Trail Blazers,L,,99,103,4,5,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
10,Tue Nov 7 2017,,,Box Score,@,Sacramento Kings,L,,86,94,4,6,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
11,Thu Nov 9 2017,,,Box Score,@,Denver Nuggets,L,,94,102,4,7,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
12,Fri Nov 10 2017,,,Box Score,,Los Angeles Clippers,W,,120,111,5,7,C. Anthony · P. George · D. Johnson · A. Roberson · R. Westbrook
13,Sun Nov 12 2017,,,Box Score,,Dallas Mavericks,W,,112,99,6,7,P. George · J. Grant · D. Johnson · A. Roberson · R. Westbrook
14,Wed Nov 15 2017,,,Box Score,,Chicago Bulls,W,,92,79,7,7,C. Anthony · P. George · D. Johnson · A. Roberson · R. Westbrook
15,Fri Nov 17 2017,,,Box Score,@,San Antonio Spurs,L,,101,104,7,8,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
16,Mon Nov 20 2017,,,Box Score,@,New Orleans Pelicans,L,,107,114,7,9,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
17,Wed Nov 22 2017,,,Box Score,,Golden State Warriors,W,,108,91,8,9,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
18,Fri Nov 24 2017,,,Box Score,,Detroit Pistons,L,,98,99,8,10,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
19,Sat Nov 25 2017,,,Box Score,@,Dallas Mavericks,L,,81,97,8,11,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
20,Wed Nov 29 2017,,,Box Score,@,Orlando Magic,L,,108,121,8,12,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
21,Fri Dec 1 2017,,,Box Score,,Minnesota Timberwolves,W,,111,107,9,12,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
22,Sun Dec 3 2017,,,Box Score,,San Antonio Spurs,W,,90,87,10,12,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
23,Tue Dec 5 2017,,,Box Score,,Utah Jazz,W,,100,94,11,12,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
24,Thu Dec 7 2017,,,Box Score,@,Brooklyn Nets,L,,95,100,11,13,A. Abrines · S. Adams · C. Anthony · A. Roberson · R. Westbrook
25,Sat Dec 9 2017,,,Box Score,@,Memphis Grizzlies,W,OT,102,101,12,13,A. Abrines · S. Adams · C. Anthony · A. Roberson · R. Westbrook
26,Mon Dec 11 2017,,,Box Score,,Charlotte Hornets,L,,103,116,12,14,A. Abrines · S. Adams · C. Anthony · P. George · R. Westbrook
27,Wed Dec 13 2017,,,Box Score,@,Indiana Pacers,W,,100,95,13,14,A. Abrines · S. Adams · C. Anthony · P. George · R. Westbrook
28,Fri Dec 15 2017,,,Box Score,@,Philadelphia 76ers,W,3OT,119,117,14,14,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
29,Sat Dec 16 2017,,,Box Score,@,New York Knicks,L,,96,111,14,15,C. Anthony · P. George · D. Johnson · A. Roberson · R. Westbrook
30,Mon Dec 18 2017,,,Box Score,,Denver Nuggets,W,,95,94,15,15,C. Anthony · P. George · D. Johnson · A. Roberson · R. Westbrook
31,Wed Dec 20 2017,,,Box Score,,Utah Jazz,W,,107,79,16,15,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
32,Fri Dec 22 2017,,,Box Score,,Atlanta Hawks,W,,120,117,17,15,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
33,Sat Dec 23 2017,,,Box Score,@,Utah Jazz,W,,103,89,18,15,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
34,Mon Dec 25 2017,,,Box Score,,Houston Rockets,W,,112,107,19,15,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
35,Wed Dec 27 2017,,,Box Score,,Toronto Raptors,W,,124,107,20,15,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
36,Fri Dec 29 2017,,,Box Score,,Milwaukee Bucks,L,,95,97,20,16,A. Abrines · S. Adams · C. Anthony · A. Roberson · R. Westbrook
37,Sun Dec 31 2017,,,Box Score,,Dallas Mavericks,L,,113,116,20,17,S. Adams · C. Anthony · P. George · J. Huestis · R. Westbrook
38,Wed Jan 3 2018,,,Box Score,@,Los Angeles Lakers,W,,133,96,21,17,S. Adams · C. Anthony · T. Ferguson · P. George · R. Westbrook
39,Thu Jan 4 2018,,,Box Score,@,Los Angeles Clippers,W,,127,117,22,17,S. Adams · C. Anthony · T. Ferguson · P. George · R. Westbrook
40,Sun Jan 7 2018,,,Box Score,@,Phoenix Suns,L,,100,114,22,18,S. Adams · C. Anthony · T. Ferguson · P. George · R. Westbrook
41,Tue Jan 9 2018,,,Box Score,,Portland Trail Blazers,L,,106,117,22,19,S. Adams · C. Anthony · T. Ferguson · P. George · R. Westbrook
42,Wed Jan 10 2018,,,Box Score,@,Minnesota Timberwolves,L,,88,104,22,20,S. Adams · C. Anthony · T. Ferguson · P. George · R. Westbrook
43,Sat Jan 13 2018,,,Box Score,@,Charlotte Hornets,W,,101,91,23,20,S. Adams · C. Anthony · T. Ferguson · P. George · R. Westbrook
44,Mon Jan 15 2018,,,Box Score,,Sacramento Kings,W,,95,88,24,20,S. Adams · C. Anthony · T. Ferguson · P. George · R. Westbrook
45,Wed Jan 17 2018,,,Box Score,,Los Angeles Lakers,W,,114,90,25,20,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
46,Sat Jan 20 2018,,,Box Score,@,Cleveland Cavaliers,W,,148,124,26,20,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
47,Tue Jan 23 2018,,,Box Score,,Brooklyn Nets,W,,109,108,27,20,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
48,Thu Jan 25 2018,,,Box Score,,Washington Wizards,W,,121,112,28,20,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
49,Sat Jan 27 2018,,,Box Score,@,Detroit Pistons,W,,121,108,29,20,S. Adams · C. Anthony · P. George · A. Roberson · R. Westbrook
50,Sun Jan 28 2018,,,Box Score,,Philadelphia 76ers,W,,122,112,30,20,S. Adams · C. Anthony · T. Ferguson · P. George · R. Westbrook
51,Tue Jan 30 2018,,,Box Score,@,Washington Wizards,L,,96,102,30,21,S. Adams · C. Anthony · T. Ferguson · P. George · R. Westbrook
52,Thu Feb 1 2018,,,Box Score,@,Denver Nuggets,L,,124,127,30,22,S. Adams · C. Anthony · T. Ferguson · P. George · R. Westbrook
53,Fri Feb 2 2018,,,Box Score,,New Orleans Pelicans,L,,100,114,30,23,S. Adams · C. Anthony · T. Ferguson · P. George · R. Westbrook
54,Sun Feb 4 2018,,,Box Score,,Los Angeles Lakers,L,,104,108,30,24,S. Adams · C. Anthony · T. Ferguson · P. George · R. Westbrook
55,Tue Feb 6 2018,,,Box Score,@,Golden State Warriors,W,,125,105,31,24,S. Adams · C. Anthony · P. George · J. Huestis · R. Westbrook
56,Thu Feb 8 2018,,,Box Score,@,Los Angeles Lakers,L,,81,106,31,25,S. Adams · R. Felton · P. George · J. Huestis · P. Patterson
57,Sun Feb 11 2018,,,Box Score,,Memphis Grizzlies,W,,110,92,32,25,A. Abrines · S. Adams · R. Felton · P. George · P. Patterson
58,Tue Feb 13 2018,,,,,Cleveland Cavaliers,,,,,,,
59,Wed Feb 14 2018,,,,@,Memphis Grizzlies,,,,,,,
60,Thu Feb 22 2018,,,,@,Sacramento Kings,,,,,,,
61,Sat Feb 24 2018,,,,@,Golden State Warriors,,,,,,,
62,Mon Feb 26 2018,,,,,Orlando Magic,,,,,,,
63,Wed Feb 28 2018,,,,@,Dallas Mavericks,,,,,,,
64,Fri Mar 2 2018,,,,@,Phoenix Suns,,,,,,,
65,Sat Mar 3 2018,,,,@,Portland Trail Blazers,,,,,,,
66,Tue Mar 6 2018,,,,,Houston Rockets,,,,,,,
67,Thu Mar 8 2018,,,,,Phoenix Suns,,,,,,,
68,Sat Mar 10 2018,,,,,San Antonio Spurs,,,,,,,
69,Mon Mar 12 2018,,,,,Sacramento Kings,,,,,,,
70,Tue Mar 13 2018,,,,@,Atlanta Hawks,,,,,,,
71,Fri Mar 16 2018,,,,,Los Angeles Clippers,,,,,,,
72,Sun Mar 18 2018,,,,@,Toronto Raptors,,,,,,,
73,Tue Mar 20 2018,,,,@,Boston Celtics,,,,,,,
74,Fri Mar 23 2018,,,,,Miami Heat,,,,,,,
75,Sun Mar 25 2018,,,,,Portland Trail Blazers,,,,,,,
76,Thu Mar 29 2018,,,,@,San Antonio Spurs,,,,,,,
77,Fri Mar 30 2018,,,,,Denver Nuggets,,,,,,,
78,Sun Apr 1 2018,,,,@,New Orleans Pelicans,,,,,,,
79,Tue Apr 3 2018,,,,,Golden State Warriors,,,,,,,
80,Sat Apr 7 2018,,,,@,Houston Rockets,,,,,,,
81,Mon Apr 9 2018,,,,@,Miami Heat,,,,,,,
82,Wed Apr 11 2018,,,,,Memphis Grizzlies,,,,,,,